id,hotel_name,city,phone,email,website,status,date_discovered,audit_notes
in-lead-025,Paradise Mansion,Mussoorie,8958654654,mail@paradisemansion.in,,sent,2026-09-04,Indian Chalet in Mussoorie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-026,Kaveri Hostel,Mussoorie,+91 9319276825,reservation@thesocialstays.com,,sent,2026-09-04,Indian Hostel in Mussoorie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-027,Narmada Hostel,Mussoorie,+91 9424973958,hari@gmail.com,,sent,2026-09-04,Indian Hostel in Mussoorie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-028,Ganga Hostel,Mussoorie,+91 9319276825,reservation@thesocialstays.com,,sent,2026-09-04,Indian Hostel in Mussoorie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-029,Mahanadi Hostel,Mussoorie,,holidays@welcomheritagehotels.in,,sent,2026-09-04,Indian Hostel in Mussoorie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-030,Vikas Hotel,Mussoorie,8191900102,,,identified,2026-09-04,Indian Hotel in Mussoorie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-031,FabHotel Clock View,Mussoorie,,,,identified,2026-09-04,Indian Hotel in Mussoorie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-032,Monarch hotel,Mussoorie,8191900102,vrhotelsandresorts@gmail.com,,sent,2026-09-04,Indian Hotel in Mussoorie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-033,Shivalik Hills,Mussoorie,8743000181,booking@rchronline.com,,sent,2026-09-04,Indian Hotel in Mussoorie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-034,Hotel Green Park,Goa,09322800100,contact@hotelgreenparkgoa.com,,sent,2026-09-04,Indian Hotel in Goa. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-035,Sunset Guesthouse,Goa,+91-7447443132,sunsetbeachresortgoa@gmail.com,,sent,2026-09-04,Indian Guest House in Goa. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-036,Mandovi,Goa,+91 8322224405,demandovigoa@gmail.com,,sent,2026-09-04,Indian Hotel in Goa. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-037,Royal Goan Beach Club at Monterio,Goa,,monterio@karmagroup.com,,sent,2026-09-04,Indian Hotel in Goa. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-038,Coconut Creek Hotel,Goa,,reservations@coconutcreekgoa.com,,sent,2026-09-04,Indian Hotel in Goa. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-039,Bogmalo Beach Resort,Goa,+91-8390904982,salesgoa@bogmallobeachresort.com,,sent,2026-09-04,Indian Hotel in Goa. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-040,Vivenda dos Palhacos,Goa,,info@vivendagoa.com,,sent,2026-09-04,Indian Hotel in Goa. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-041,Sea Queen Beach Resort,Goa,+91-9322607926,info@seaqueenbeachresort.com,,sent,2026-09-04,Indian Hotel in Goa. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-042,La Paz,Goa,+91 8130048450,res.lapazgoa@beaconhotels.com,,sent,2026-09-04,Indian Hotel in Goa. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-043,GTDC Calangute Residency,Goa,9890673030,contact@gtdchotel.com,,sent,2026-09-04,Indian Hotel in Goa. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-044,Hotel A Canoa,Goa,9822484446,hm@advanihotels.com,,sent,2026-09-04,Indian Hotel in Goa. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-045,Colva Beach Resort,Goa,9822586704,starbeachresortingoa@yahoo.co.in,,sent,2026-09-04,Indian Hotel in Goa. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-046,La Ben,Goa,,labenresort@gmail.com,,sent,2026-09-04,Indian Hotel in Goa. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-047,Hotel Neelam Grand,Goa,+91 9011086456,reservation@thegrandgoa.com,,sent,2026-09-04,Indian Hotel in Goa. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-048,Hotel Neelam Glitz,Goa,+91 9011086409,reservation@theglitzgoa.com,,sent,2026-09-04,Indian Hotel in Goa. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-049,Hotel Satyaheera,Goa,8191900086,,,identified,2026-09-04,Indian Hotel in Goa. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-050,Re:GEN:TA  Baywatch resort,Goa,+91 9028854531,reservations.rbrg@royalorchidhotels.com,,sent,2026-09-04,Indian Hotel in Goa. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-051,Villa Anjuna,Goa,+91 9822480050,contact@oasisvillagoa.com,,sent,2026-09-04,Indian Hotel in Goa. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-052,CLOSE2C,Goa,8880888277,Close2C@gmail.com,,sent,2026-09-04,Indian Hotel in Goa. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-053,Bhakti Kutir,Goa,9999966540,bhaktikutir@gmail.com,,sent,2026-09-04,Indian Guest House in Goa. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-054,Shantadurga Guest House,Goa,+91 9834513091,office@shreeshantadurga.com,,sent,2026-09-04,Indian Guest House in Goa. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-055,Dunes Holiday Village,Goa,+919423314196,dunes13@rediffmail.com,,sent,2026-09-04,Indian Hotel in Goa. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-056,Fort Tiracol,Goa,+91 9015476476,reservations.goa@saracahotels.com,,sent,2026-09-04,Indian Hotel in Goa. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-057,Ashiyana,Goa,9552329013,reception@ashiyana.com,,sent,2026-09-04,Indian Hotel in Goa. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-058,Urmila Guest House,Goa,8191900086,,,identified,2026-09-04,Indian Guest House in Goa. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-059,Sun N Sand,Pune,9699615779,reservations@sunnsandpune.com,,sent,2026-09-04,Indian Hotel in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-060,Sriman,Pune,,travel@blessingsonthenet.com,,sent,2026-09-04,Indian Hotel in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-061,Sirona,Pune,,contact@sironamedical.com,,sent,2026-09-04,Indian Hotel in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-062,Aurora Towers,Pune,,reservations@hotelauroratowers.in,,sent,2026-09-04,Indian Hotel in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-063,Raviraj,Pune,+91 7798003470,hotelraviraj@gmail.com,,sent,2026-09-04,Indian Hotel in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-064,Sagar Plaza,Pune,+91 7448070707,rooms.chkn@theclickhotels.com,,sent,2026-09-04,Indian Hotel in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-065,The Gordon House,Pune,9867505247,salesghh@mars-world.com,,sent,2026-09-04,Indian Hotel in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-066,MIT School Of Design,Pune,2067652300,admissions.mitid@mituniversity.edu.in,,sent,2026-09-04,Indian Hostel in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-067,P.G.HOSTEL,Pune,+919063081081,contact@gopgo.in,,sent,2026-09-04,Indian Hostel in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-068,Hotel Executive Residency,Pune,,,,identified,2026-09-04,Indian Hotel in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-069,shitai hotel,Pune,,reservations@shantaihotel.com,,sent,2026-09-04,Indian Hotel in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-070,IISER New Hall of Residence,Pune,,admissions@iiserpune.ac.in,,sent,2026-09-04,Indian Hostel in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-071,MAE girls hostel,Pune,+91-8904979434,enquiry@vidyaniketanhostels.com,,sent,2026-09-04,Indian Hostel in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-072,Sadanand,Pune,+91-8128871576,reservations@sadanandregency.com,,sent,2026-09-04,Indian Hotel in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-073,Viva Inn,Pune,,,,identified,2026-09-04,Indian Hotel in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-074,Ritz Hotel,Pune,,rc.pnqrz.reservations@marriott.com,,sent,2026-09-04,Indian Hotel in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-075,Takshashila,Pune,9589038220,takshshila.ac.in@gmail.com,,sent,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-076,Meghmalhar,Pune,,meghmalhartourism@gmail.com,,sent,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-077,Ganga Bhagyoday,Pune,02041420000,sales@goelganga.com,,sent,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-078,Rahane Arcade,Pune,,contact@ajinkyarahane.co.in,,sent,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-079,Chandan Heights,Pune,,,,identified,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-080,Swagat Luxury Lodging,Pune,+919860745456,,,identified,2026-09-04,Indian Hotel in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-081,Shreemangal Palace,Pune,,,,identified,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-082,Chandrakant Residency A,Pune,,chandrakantpatil0796@gmail.com,,sent,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-083,Jijai Palace,Pune,,,,identified,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-084,Jijai Heights,Pune,,,,identified,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-085,Sukalyan,Pune,,sukalyan.adhikary@itcinfotech.com,,sent,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-086,Pankaj Society,Pune,,info@pankajdevelopers.com,,sent,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-087,Bhalchandra,Pune,,sales@jfe-eng.co.in,,sent,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-088,Shrikunjshri,Pune,9922268412,info@shrikrishnaenterprises.net,,sent,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-089,Sai Residency,Pune,+91-7383452964,,,identified,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-090,Bharat Vihar,Pune,,secretarial@bharatforge.com,,sent,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-091,Shiv Shahi Complex,Pune,,contactus@commonfloor.com,,sent,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-092,Dnyaneshwari Niwas,Pune,,agency2050@gmail.com,,sent,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-093,Vrundavan Vihar,Pune,+91 9322337119,contactus@commonfloor.com,,sent,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-094,Chandrat,Pune,,contact@chandratech.com,,sent,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-095,Vijaya Smruti,Pune,+91 9981459814,info@keyproperty.in,,sent,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-096,Saumitra,Pune,,info@simulations-plus.com,,sent,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-097,Mukta Residency,Pune,,contactus@commonfloor.com,,sent,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-098,Jagdamba Apartment,Pune,,,,identified,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-099,Vitthal Complex,Pune,,support@beyondwalls.com,,sent,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-100,Lake Vintage,Pune,,info@vintagemagnality.com,,sent,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-101,Bhakti Apartment,Pune,,,,identified,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-102,Wonder Futura,Pune,,,,identified,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-103,Satyam Shrey,Pune,,,,identified,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-104,Shree Swami Landmark,Pune,+918047523414,,,identified,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-105,Hotel Abhijeet New Sweet Home,Pune,,,,identified,2026-09-04,Indian Hotel in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-106,Marriott Suites Pune,Pune,+912067257777,mhrs.pnqms.reservation@marriotthotels.com,,sent,2026-09-04,Indian Hotel in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-107,DRDO Diat Guest House ,Pune,,a@diat.ac.in,,sent,2026-09-04,Indian Guest House in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-108,cloud 9,Pune,,info@cloudninecare.com,,sent,2026-09-04,Indian Camp Site in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
