ID,Hotel Name,City,Phone,Email,Website,Status,Date,Audit Notes
in-lead-049,Hotel Satyaheera,Goa,8191900086,,,identified,2026-09-04,Indian Hotel in Goa. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-050,Re:GEN:TA  Baywatch resort,Goa,+91 9028854531,reservations.rbrg@royalorchidhotels.com,,identified,2026-09-04,Indian Hotel in Goa. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-051,Villa Anjuna,Goa,+91 9822480050,contact@oasisvillagoa.com,,identified,2026-09-04,Indian Hotel in Goa. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-052,CLOSE2C,Goa,8880888277,Close2C@gmail.com,,identified,2026-09-04,Indian Hotel in Goa. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-053,Bhakti Kutir,Goa,9999966540,bhaktikutir@gmail.com,,identified,2026-09-04,Indian Guest House in Goa. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-054,Shantadurga Guest House,Goa,+91 9834513091,office@shreeshantadurga.com,,identified,2026-09-04,Indian Guest House in Goa. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-055,Dunes Holiday Village,Goa,+919423314196,,,identified,2026-09-04,Indian Hotel in Goa. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-056,Fort Tiracol,Goa,+91 9015476476,reservations.goa@saracahotels.com,,identified,2026-09-04,Indian Hotel in Goa. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-057,Ashiyana,Goa,9552329013,reception@ashiyana.com,,identified,2026-09-04,Indian Hotel in Goa. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-058,Urmila Guest House,Goa,8191900086,,,identified,2026-09-04,Indian Guest House in Goa. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-059,Sun N Sand,Pune,9699615779,reservations@sunnsandpune.com,,identified,2026-09-04,Indian Hotel in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-060,Sriman,Pune,,travel@blessingsonthenet.com,,identified,2026-09-04,Indian Hotel in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-061,Sirona,Pune,,,,identified,2026-09-04,Indian Hotel in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-062,Aurora Towers,Pune,,reservations@hotelauroratowers.in,,identified,2026-09-04,Indian Hotel in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-063,Raviraj,Pune,+91 7798003470,,,identified,2026-09-04,Indian Hotel in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-064,Sagar Plaza,Pune,+91 7448070707,rooms.chkn@theclickhotels.com,,identified,2026-09-04,Indian Hotel in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-065,The Gordon House,Pune,9867505247,salesghh@mars-world.com,,identified,2026-09-04,Indian Hotel in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-066,MIT School Of Design,Pune,2067652300,,,identified,2026-09-04,Indian Hostel in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-067,P.G.HOSTEL,Pune,+919063081081,contact@gopgo.in,,identified,2026-09-04,Indian Hostel in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-068,Hotel Executive Residency,Pune,,,,identified,2026-09-04,Indian Hotel in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-069,shitai hotel,Pune,,reservations@shantaihotel.com,,identified,2026-09-04,Indian Hotel in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-070,IISER New Hall of Residence,Pune,,,,identified,2026-09-04,Indian Hostel in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-071,MAE girls hostel,Pune,+91-8904979434,,,identified,2026-09-04,Indian Hostel in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-072,Sadanand,Pune,+91-8128871576,reservations@sadanandregency.com,,identified,2026-09-04,Indian Hotel in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-073,Viva Inn,Pune,,,,identified,2026-09-04,Indian Hotel in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-074,Ritz Hotel,Pune,,rc.pnqrz.reservations@marriott.com,,identified,2026-09-04,Indian Hotel in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-075,Takshashila,Pune,9589038220,takshshila.ac.in@gmail.com,,identified,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-076,Meghmalhar,Pune,,,,identified,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-077,Ganga Bhagyoday,Pune,02041420000,sales@goelganga.com,,identified,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-078,Rahane Arcade,Pune,,contact@ajinkyarahane.co.in,,identified,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-079,Chandan Heights,Pune,,,,identified,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-080,Swagat Luxury Lodging,Pune,+919860745456,,,identified,2026-09-04,Indian Hotel in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-081,Shreemangal Palace,Pune,,,,identified,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-082,Chandrakant Residency A,Pune,,,,identified,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-083,Jijai Palace,Pune,,,,identified,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-084,Jijai Heights,Pune,,,,identified,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-085,Sukalyan,Pune,,sukalyan.adhikary@itcinfotech.com,,identified,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-086,Pankaj Society,Pune,,,,identified,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-087,Bhalchandra,Pune,,,,identified,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-088,Shrikunjshri,Pune,9922268412,info@shrikrishnaenterprises.net,,identified,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-089,Sai Residency,Pune,+91-7383452964,,,identified,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-090,Bharat Vihar,Pune,,secretarial@bharatforge.com,,identified,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-091,Shiv Shahi Complex,Pune,,,,identified,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-092,Dnyaneshwari Niwas,Pune,,,,identified,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-093,Vrundavan Vihar,Pune,+91 9322337119,,,identified,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-094,Chandrat,Pune,,contact@chandratech.com,,identified,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-095,Vijaya Smruti,Pune,+91 9981459814,info@keyproperty.in,,identified,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-096,Saumitra,Pune,,info@simulations-plus.com,,identified,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-097,Mukta Residency,Pune,,,,identified,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-098,Jagdamba Apartment,Pune,,,,identified,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-099,Vitthal Complex,Pune,,,,identified,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-100,Lake Vintage,Pune,,info@vintagemagnality.com,,identified,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-101,Bhakti Apartment,Pune,,,,identified,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-102,Wonder Futura,Pune,,,,identified,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-103,Satyam Shrey,Pune,,,,identified,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-104,Shree Swami Landmark,Pune,+918047523414,,,identified,2026-09-04,Indian Apartment in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-105,Hotel Abhijeet New Sweet Home,Pune,,,,identified,2026-09-04,Indian Hotel in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-106,Marriott Suites Pune,Pune,+912067257777,,,identified,2026-09-04,Indian Hotel in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-107,DRDO Diat Guest House ,Pune,,,,identified,2026-09-04,Indian Guest House in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-108,cloud 9,Pune,,,,identified,2026-09-04,Indian Camp Site in Pune. No standalone booking website. High MakeMyTrip/OTA commission loss.
